,name,CIN,NIC,amount
1161,Pharmazell (India) Private Limited,U24294TN1993PTC025852,,0
1162,Phoenix Lamps Limited,L31500UP1991PLC012944,31.0,304895
1163,Piaggio Vehicles Private Limited,U34102MH1998PTC113606,29.0,0
1164,Piccadily Holiday Resorts Limited,U70101DL1982PLC013108,,293928
1165,Pioneer Urban Land & Infrastructure Limited,U65910DL1985PLC019985,64.0,899022
1166,Pipavav Railway Corporation Limited,U45200DL2000PLC151199,45.0,7239345
1167,Piramal Finance Private Limited,U99999MH1974PTC129493,99.0,119400000
1168,Pitti Laminations Limited,L29253TG1983PLC004141,29.0,4273437
1169,Pix Transmissions Ltd,L25192MH1981PLC024837,25.0,1300000
1170,Pjl Clothing (India) Private Limited,U51311MH1989PTC052420,,0
1171,Plastiblends India Limited,L25200MH1991PLC059943,25.0,4000000
1172,Pnb Housing Finance Limited,U65922DL1988PLC033856,64.0,741606
1173,Pnc Infratech Limited,L45201DL1999PLC195937,45.0,9500000
1174,Poddar Housing And Development Limited,L51909MH1982PLC143066,51.0,1830000
1175,Poddar Tyres Limited,U25100MH1981PLC023895,25.0,8788000
1176,Polaris Consulting & Services Limited,L65993TN1993PLC024142,65.0,33125000
1177,Polydrug Laboratories Private Limited,U24231MH2004PTC147729,,1625000
1178,Polyhydron Private Limited,U29120KA1989PTC010171,,180000
1179,Polyplastics Industries (India) Private Limited.....,U51103HR2008PTC038320,,1744000
1180,Pon Pure Chemical India Private Limited,U24111TN1998PTC040872,,700000
1181,Pooja Forge Limited,U27310DL1986PLC025557,,25000
1182,Poona Shims Pvt Ltd,U29302PN1981PTC024033,,1286267
1183,Posh Chemicals Private Limited,U40102TG1994PTC018680,,450000
1184,Positive Packaging Industries Limited,U74952MH1994FLC078296,82.0,44660
1185,Power Build Private Limited,U32201GJ1972PTC002065,,2515000
1186,Power Finance Corporation Limited,L65910DL1986GOI024862,64.0,10970000
1187,Power Grid Corporation Of India Limited,L40101DL1989GOI038121,40.0,171071000
1188,Power System Operation Corporation Limited,U40105DL2009GOI188682,40.0,9212158
1189,Powerlinks Transmission Limited,U40105DL2001PLC110714,40.0,5315000
1190,Powermaster Engineers Private Limited,U29305MH1971PTC015118,,227000
1191,Ppn Power Generating Company Private Limited,U40101TN1994PTC027477,40.0,5100000
1192,Praj Hipurity Systems Limited,U41000MH2007PLC175261,41.0,3278000
1193,Praj Industries Limited,L27101PN1985PLC038031,27.0,8859358
1194,Pramol Traders Holdings Private Limited,U67120GJ2006PTC047601,,2000000
1195,Prashant Castech Private Limited,U27310GJ2009PTC056501,,1328250
1196,Premier Evolvics Private Limited,U02520TZ1981PTC001107,2.0,750000
1197,Premier Explosives Limited,L24110TG1980PLC002633,20.0,2219000
1198,Premier Mills Private Limited,U17111TZ1994PTC005511,17.0,750000
1199,Premier Spg And Wvg Mills Private Limited,U17111TZ1945PTC000146,17.0,1950968
1200,Prescient Securities Private Limited,U65929MH2003PTC141455,,100000000
1201,Pricewaterhousecoopers Private Limited,U74140WB1983PTC036093,,5000000
1202,Pricewaterhousecoopers Service Delivery Center (Kolkata) Private Limited,U72200WB2010PTC142115,,4725000
1203,Prima Products Private Limited,U17111TZ1987PTC001972,17.0,155000
1204,Prime Property Development Corporation Limited,L67120MH1992PLC070121,66.0,188252
1205,Prince Swr Systems Private Limited,U25206MH1995PTC086960,,100000
1206,Proconnect Supply Chain Solutions Limited,U63030TN2012PLC087458,63.0,0
1207,Procter & Gamble Hygiene And Health Care Limited,L24239MH1964PLC012971,21.0,2500000
1208,Prokarma Softech Private Limited,U72200TG2004PTC043074,,3243410
1209,Prolifics Corporation Limited,U72200TG1997PLC033030,,1373000
1210,Promac Engineering Industries Limited,U24210KA1972PLC002255,20.0,0
1211,Property Ventures (India) Private Limited,U45200RJ2000PTC034234,,1815000
1212,Pruksa India Housing Private Limited,U70102KA2009PTC048926,,1000000
1213,Ptc Industries Limited,L27109UP1963PLC002931,27.0,1388600
1214,Pudhari Publications Private Limited,U22121PN2004PTC019095,,500000
1215,Pudumjee Pulp And Paper Mills Limited,L21012MH1964PLC013058,17.0,1020000
1216,Puravankara Projects Limited,L45200KA1986PLC051571,45.0,11500000
1217,Qburst Technologies Private Limited,U30006KL2004PTC017576,,602398
1218,Qed Agro Systems Private Limited,U01409KA2000PTC026862,1.0,1542001
1219,Qrg Enterprises Limited.,U31900DL1991PLC043974,31.0,6700000
1220,Quest Global Engineering Private Limited,U72200KA2008PTC047200,,800000
1221,R C Sood And Co Private Ltd,U74899DL1954PTC002361,74.0,1800000
1222,R P Basmati Rice Limited,U15312HR2001PLC034739,,1200000
1223,R S Software (India) Ltd.,L72200WB1987PLC043375,72.0,7500000
1224,R.K. Infracorp Private Limited,U45200AP2008PTC059199,,0
1225,R.M.Chemicals Pvt Ltd,U24241MP1995PTC009484,,0
1226,R.R.Thulasi Builders (India) Private Limited,U45201TZ2006PTC012574,,52000
1227,R.V. Investment And Dealers Ltd,U65993WB1972PLC028595,65.0,950500
1228,Rabo India Finance Limited,U65929HR1998PLC037509,64.0,3176020
1229,Radico Khaitan Limited,L26941UP1983PLC027278,23.0,13874497
1230,Raghu Trading And Investment Company Private Limited,U74899DL1974PTC007150,,300000
1231,Raheja Universal (Pvt) Limited,U45200MH1980PTC023430,,960000
1232,Raj Westpower Ltd,U31102MH1996PLC185098,31.0,20898766
1233,Rajasthan Electronics And Instruments Ltd,U51395RJ1981GOI002249,51.0,3920000
1234,Rajasthan Global Securities Private Limited,U67120DL1995PTC072778,,5151140
1235,Rajasthan Prime Steel Processing Center Private Limited,U05004DL2007PTC169044,,240376
1236,Rajasthan State Industrial Development And Investm,U13100RJ1969SGC001263,13.0,56088000
1237,Rajesh Exports Limited,L36911KA1995PLC017077,32.0,27950064
1238,Rajkamal Builders Infrastructure Private Limited,U45201GJ1998PTC035058,,1272949
1239,Rajoo Engineers Limited,L27100GJ1986PLC009212,27.0,1191412
1240,Ralson (India) Limited,U51909DL1974PLC042836,51.0,800000
1241,Rambagh Palace Hotel Private Limited,U55101RJ1972PTC001445,55.0,200000
1242,Ramco Industries Limited,L26943TN1965PLC005297,23.0,8295000
1243,Ramkrishy Infrastructure Private Limited,U45203KA2008PTC045706,,710533
1244,Rane Engine Valve Limited,L74999TN1972PLC006127,74.0,0
1245,Rangoli Portfolio Private Limited,U67120HR2007PTC036613,,500000
1246,Rashtriya Chemicals And Fertilizers Limited,L24110MH1978GOI020185,20.0,3064000
1247,Rashtriya Ispat Nigam Ltd,U27109AP1982GOI003404,27.0,89993000
1248,Rasi Tex India Private Limited,U17111TN1996PTC056836,,0
1249,Ratilal Bhagwandas Construction Company P Ltd,U70101MH1990PTC059577,,1162100
1250,Rational Art And Press Private Limited,U74994MH1956PTC009776,,4000000
1251,Ratnamani Metals And Tubes Limited,L70109GJ1983PLC006460,68.0,15000000
1252,Rbs Financial Services (India) Private Limited,U67120MH1997PTC112574,,2232315
1253,Rci India Private Limited,U29246KA1995PTC017334,,4500000
1254,Rda Holdings Private Limited,U45001PN1982PTC026507,45.0,5000000
1255,Rdb Realty & Infrastructure Limited,L16003WB2006PLC110039,16.0,1551000
1256,Real Technical Solutions Private Limited,U74900MH2008PTC180911,,521448
1257,Reddy Structures Private Limited,U07010KA2002PTC031181,,1084283
1258,Regency Nirman Limited,U45200MH2005PLC153966,,550000
1259,Rehabilitation Plantations Limited,U01119KL1976SGC002799,1.0,780000
1260,Reliance Industries Limited,L17110MH1973PLC019786,17.0,9000000
1261,Reliance Infrastructure Limited,L99999MH1929PLC001530,99.0,253500000
1262,Reliance Ports And Terminals Limited,U45102GJ1997PLC031906,45.0,35000000
1263,Reliance Power Limited,L40101MH1995PLC084687,40.0,58750000
1264,Reliance Ventures Limited,U24120MH1999PLC121009,20.0,3744000
1265,Religare Housing Development Finance Corporation Limited,U74899DL1993PLC054259,74.0,109400
1266,Renaissance Asset Management Company Private Limited,U74899DL2000PTC107953,74.0,1000000
1267,Resinova Chemie Limited,U24131GJ1995PLC084273,,1824000
1268,Rex-Tone Industries Limited,U24100MH1994PLC078452,,8
1269,Rhi Clasil Private Limited,U26914TG2005PTC048333,,1231450
1270,Rishabh Constructions Private Limited,U45201RJ1984PTC003149,,0
1271,Rites Limited,U74899DL1974GOI007227,74.0,67000000
1272,Riviera Home Furnishings Private Limited,U74899DL1995PTC067065,,6351000
1273,Rj Corp Limited,U62200DL1980PLC010262,62.0,600000
1274,Rm Education Solutions India Private Limited,U72200KL2003PTC015931,,163592
1275,Rmc Gems India Limited,U36911RJ2001PLC016870,32.0,100000
1276,Rmsi Private Limited,U74899DL1992PTC047149,,80000
1277,Roche Products (India) Private Limited,U74999MH1994PTC077533,74.0,2500000
1278,Rockman Industries Limited,U35921PB1981PLC004729,30.0,4059000
1279,Rohan Builders (India) Private Limited,U45201PN1994PTC077758,,1677793
1280,Rohan Dyes And Intermediates Ltd,U24114MH1992PTC065834,,0
1281,Rohini Minerals Private Limited,U15209TG1999PTC032819,,480000
1282,Rohit Iron And Steel (India) Private Limited,U27100MH2004PTC146303,,800000
1283,Rohm And Haas (India) Private Limited,U24231MH1995PTC132718,,450000
1284,Rolta India Limited,L74999MH1989PLC052384,74.0,1500000
1285,Roots Industries India Limited,U02520TZ1990PLC002987,2.0,2596600
1286,Roots Multi Clean Limited,U36999TZ1992PLC003662,36.0,503336
1287,Roquette Riddhi Siddhi Private Limited,U15326GJ2010PTC062115,15.0,10700000
1288,Rosa Power Supply Company Limited,U31101MH1994PLC243148,31.0,112800000
1289,Rossell India Limited,L01132WB1994PLC063513,1.0,3129000
1290,Rotex Manufacturers And Engineers Private Limited,U15008MH1971PTC015008,,5400000
1291,Roto Pumps Limited,L28991UP1975PLC004152,28.0,0
1292,Rrhl Realty Limited,U45207MH2007PLC173442,45.0,100000
1293,Rsm Autokast Limited,U02899TZ1996PLC006844,,776000
1294,Rsm Builders & Securities Private Limited,U45200WB1987PTC042478,45.0,500000
1295,Rswm Limited,L17115RJ1960PLC008216,17.0,26000
1296,Ruchi Global Limited,U51500MH1996PLC099082,51.0,275000
1297,Ruchi Infrastructure Limited,L65990MH1984PLC033878,65.0,0
1298,Ruchi Soya Industries Limited,L15140MH1986PLC038536,10.0,2985000
1299,Rudolf Atul Chemicals Limited,U24110GJ2005PLC045564,24.0,0
1300,Rudrabhishek Enterprises Private Limited,U74899DL1992PTC050142,,2350500
1301,Rural Electrification Corporation Limited,L40101DL1969GOI005095,40.0,57207680
1302,Rushil Decor Limited,L25209GJ1993PLC019532,25.0,355401
1303,Russell Credit Ltd,U65993WB1994PLC061684,65.0,9000000
1304,S M I Coated Products Private Limited,U74999MH2003PTC139869,,0
1305,S R C Aviation Private Limited,U74899DL1995PTC071383,,1236395
1306,S.G.P.Exim Private Limited,U52321TN1992PTC022428,,11700000
1307,S.J.S. Enterprises Private Limited,U51909KA2005PTC036601,51.0,1810000
1308,Saama Technologies (India) Private Limited,U72200PN1999PTC139628,,500000
1309,Sabic India Private Limited,U51109DL1992PTC049160,,9260000
1310,Sabic Research And Technology Private Limited,U17119KA1998PTC080762,,3599667
1311,Sable Waghire And Co Private Limited,U16003MH1966PTC013636,,9400000
1312,Sac Engine Components Private Limited,U27104TN1991PTC021637,,194100
1313,Sadbhav Infrastructure Project Limited,L45202GJ2007PLC049808,45.0,0
1314,Sagar Cements Ltd,L26942TG1981PLC002887,23.0,636575
1315,Sahyadri Industries Limited.,L26956PN1994PLC078941,23.0,1057000
1316,Sai Consulting Engineers Private Limited,U74140GJ1983PTC005900,74.0,150000
1317,Sai Life Sciences Limited,U24110TG1999PLC030970,,702100
1318,Sai Service Private Limited,U60210PN1985PTC037099,60.0,1450000
1319,Sai Silks (Kalamandir) Limited,U52190TG2008PLC059968,,1875790
1320,Saint-Gobain Sekurit India Limited,L26101MH1973PLC018367,26.0,665000
1321,Saj Food Products Private Limited,U15315WB2000PTC092589,,1694000
1322,Sakal Papers Private Limited,U22121PN1948PTC006177,58.0,1000000
1323,Sakthi Auto Component Limited,U29199TZ1999PLC008751,29.0,3897000
1324,Salcomp Manufacturing India Private Limited,U30007TN2006PTC059330,,2390778
1325,Salona Cotspin Limited,L17111TZ1994PLC004797,17.0,48320
1326,Samalpatti Power Company Private Limited,U40109TN1995PTC033944,40.0,2506042
1327,Sambandam Spinning Mills Limited,L17111TZ1973PLC000675,17.0,280000
1328,Samkrg Pistons And Rings Limited,L27310TG1985PLC005423,24.0,0
1329,San Engineering And Locomotive Company Limited.,U74210KA1973PLC002424,74.0,0
1330,Sanand Properties Private Limited,U70101PN1997PTC111093,,1000000
1331,Sandhar Technologies Limited,U74999DL1987PLC029553,,5796000
1332,Sandisk India Device Design Centre Private Limited,U72300KA2005PTC035961,,2128635
1333,Sangam (India) Limited,L17118RJ1984PLC003173,17.0,392000
1334,Sanjeev Auto Parts Manufacturers Private Limited,U34300MH1996PTC102485,,2065226
1335,Sankhla Vinyl Private Limited,U27104KA1989PTC009773,,575989
1336,Sanmina-Sci India Private Limited,U30007TN2002PTC048391,,510034
1337,Sansera Engineering Private Limited,U34103KA1981PTC004542,29.0,4020000
1338,Sanspareils Greenlands Private Limited,U36911UP1979PTC004761,32.0,1642335
1339,Sanzyme Private Limited,U24235TG1969PTC001282,,7
1340,Saptagir Camphor Limited,U24110TG1988PLC008346,20.0,1000000
1341,Saraogi Udyog Private Limited,U23109WB1996PTC079509,,1297000
1342,Sarat Chatterjee & Co (Visakhapatnam) Pvt Ltd,U25202WB1975PTC029962,,1541832
1343,Sarda Energy & Minerals Limited,L27100MH1973PLC016617,27.0,747000
1344,Saregama India Limited,L22213WB1946PLC014346,18.0,5400000
1345,Satia Industries Limited,L21012PB1980PLC004329,17.0,792000
1346,Satin Creditcare Network Limited,L65991DL1990PLC041796,65.0,739519
1347,Satra Properties (India) Limited,L65910MH1983PLC030083,64.0,1900000
1348,Saurer Textile Solutions Private Limited,U29253MH2013PTC242042,29.0,447042
1349,Savera Industries Limited,L55101TN1969PLC005768,55.0,1515000
1350,Sbi Capital Markets Limited,U99999MH1986PLC040298,99.0,4000000
1351,Sbi Macquarie Infrastructure Management Private Limited,U74140MH2008PTC184628,74.0,462600
1352,Schott Kaisha Private Limited,U26100MH1994PTC083938,26.0,0
1353,Scope International Private Limited,U67190TN2000PTC049177,,3045000
1354,Sds Ramcides Cropscience Private Limited,U24117TN1994PTC029550,,1400000
1355,Sealwel Corporation Private Limited,U40107TG2010PTC069113,,0
1356,Seco Tools India Private Limited,U28932PN1996PTC016924,28.0,150000
1357,Secure Meters Limited,U74899RJ1987PLC029106,74.0,1220003
1358,Semikron Electronics Private Limited,U32106MH1983PTC029136,,800000
1359,Seven Islands Shipping Limited,U61100MH2002PLC135732,,25000
1360,Seyad Home Industries Private Limited,U51909TN2002PTC049789,,1107000
1361,Shah Virchand Govanji Jewellars Private Limited,U36939GJ1996PTC030254,,2500000
1362,Shakun Polymers Limited,U17119GJ1995PLC025304,,2061000
1363,Shalimar Paints Ltd,L24222WB1902PLC001540,20.0,347000
1364,Shalimar Wires Industries Limited,L74140WB1996PLC081521,74.0,0
1365,Shamyak Investment Private Limited,,,643000000
1366,Sharda Cropchem Limited,L51909MH2004PLC145007,51.0,535000
1367,Sharekhan Commodities Private Limited,U67120MH2000PTC127261,,106486
1368,Shasun Pharmaceuticals Limited,L24117TN1976PLC007122,20.0,700000
1369,Shingora Textiles Limited,U17200DL2008PLC179117,17.0,1000000
1370,Shivam Autotech Limited,L34300DL2005PLC139163,34.0,783000
1371,Shivsagar Bidi Works Pvt Ltd,U16002MH1983PTC031012,,1600000
1372,Shoft Shipyard Private Limited,U74210MH2001PTC130617,,1003000
1373,Shree Agencies P. Ltd. (Transfrom From Culcutta To Rajasthan,U28992RJ1998PTC014834,,402884
1374,Shree Ajit Pulp And Paper Limited,L21010GJ1995PLC025135,17.0,1287000
1375,Shree Cement Limited,L26943RJ1979PLC001935,23.0,175600000
1376,Shree Ram Colloids Private Limited,U24133RJ2005PTC020920,,0
1377,Shree Ramkrishna Exports Private Limited,U36912MH2012PTC229115,36.0,47156000
1378,Shree Uttam Steel And Power Limited,U27310MH2006PLC165173,,100000
1379,Shreehari Associates Private Limited,U17100MH2001PTC200611,,0
1380,Shreyans Industries Limited,L17115PB1979PLC003994,17.0,948000
1381,Shri Ashutosh Structures Private Limited,U40109CT2002PTC015421,,1100000
1382,Shri Bajrang Power And Ispat Limited,U27106CT2002PLC015184,27.0,4152819
1383,Shri Gurudatt Sugars Limited,U15424PN2000PLC014367,,1309300
1384,Shri Shakti Schools Pvt Ltd.,U80300TG1989PTC009644,,1050000
1385,Shriram Capital Limited,U65993TN1974PLC006588,65.0,2500000
1386,Shriram City Union Finance Limited,L65191TN1986PLC012840,64.0,932543
1387,Shriram Transport Finance Company Limited,L65191TN1979PLC007874,64.0,13825000
1388,Shubham Goldiee Masale Private Limited,U02001UP1998PTC023350,2.0,784133
1389,Shweta Infrastructure And Housing (India) Private Limited,U45200MH2005PTC155493,,1083048
1390,Siara Engineering Private Limited,U29299PN1999PTC013389,29.0,1200000
1391,Sical Multimodal And Rail Transport Limited,U60232TN2007PLC063378,60.0,2981000
1392,Sidhhartha Corporation Private Limited,U93030MH2011PTC212831,,77617
1393,Sigma Aldrich Chemicals Private Limited,U02411KA2003PTC031488,,3318167
1394,Sigma Freudenberg Nok Pvt Ltd,U11202DL2000PTC107504,,4378000
1395,Signode India Limited,U74950TG2003PLC091521,,718000
1396,Silver Realties And Infrastructure Private Limited,U45203MP2005PTC017983,,199000
1397,Silver Touch Technologies Limited,U72200GJ1995PLC024465,,310529
1398,Simpson And Company Limited,U65991TN1925PLC002345,65.0,500000
1399,Sita Information Networking Computing (India) Private Limited,,,0
1400,Sk E&C; India Private Limited,L45204AP2001PLC057199,45.0,108728
1401,Skipperseil Limited,U31200DL1995PLC169397,31.0,109000
1402,Skyline Foundations And Structures Private Limited,U70200KA2004PTC033980,,100000
1403,Sledgehammer Oil Tools Private Limited.,U74991DL2006PTC148561,,4500000
1404,Sling Media Private Limited,U72200KA2004PTC034737,,1160000
1405,Slk Global Bpo Services Private Limited,U72200KA2001PTC029055,,1500000
1406,Slk Software Services Private Limited,U72200KA2000PTC027503,72.0,1750000
1407,Smartchem Technologies Limited,U67120AP1987PLC039114,66.0,154220
1408,Smartwheels Private Limited,,,10000000
1409,Smec (India) Private Limited,U93000DL1997PTC088574,,98000
1410,Smruthi Organics Ltd,L24119PN1989PLC052562,20.0,0
1411,Sms Shivnath Infrastructure Private Limited,U45203CT1997PTC012220,45.0,0
1412,Snl Financial (India) Private Limited,U67110GJ2004PTC044798,,2064596
1413,Societe Generale Global Solution Centre Private Li,U72200KA2000PTC027232,72.0,2829000
1414,Sodium Metal Pvt Ltd,U24231GJ1970PTC001715,,860000
1415,Software Paradigms Infotech Private Limited,U72200KA2008PTC045684,,795825
1416,Solar Industries India Limited,L74999MH1995PLC085878,74.0,17750000
1417,Solvay Specialities India Private Limited,U74130GJ2005PTC062544,74.0,1010000
1418,Solverminds Solutions And Technologies Private Limited,U72200TN2004PTC053097,,13894927
1419,Sonata Information Technology Limited,U72300MH2000PLC127476,63.0,0
1420,Sonata Software Limited,L72200MH1994PLC082110,72.0,2922000
1421,Sonic Biochem Extractions Limited,U24211MP1995PLC010167,,500000
1422,Sonus Networks India Private Limited,U72200KA2004PTC033788,,723368
1423,Sony India Software Centre Private Limited,U72200KA2011PTC061471,,0
1424,South Asia Fm Limited,U92131TN2005PLC057987,92.0,40000
1425,South City Projects (Kolkata) Limited,U21019WB1995PLC071252,17.0,6932000
1426,South Eastern Coalfields Limited,U10102CT1985GOI003161,10.0,19357000
1427,Spacenet Enterprises India Limited,L72200TG2010PLC068624,,0
1428,Span India Pvt Ltd,U74899DL1977PTC008672,74.0,780750
1429,Spectra Products Private Limited,U74899DL1991PTC046647,,580000
1430,Spectrum Dyes And Chemicals Private Limited,U24110MH1989PTC176088,,7150000
1431,Spicer India Private Limited,U34300MH1993PTC073227,29.0,0
1432,Spinco Biotech Private Limited,U24294TN1991PTC021876,,500000
1433,Spincotech Private Limited,U51507TN2002PTC048571,,500000
1434,Sqs India Bfsi Limited,L64202TN1998PLC066604,64.0,4455725
1435,Sree Akkamamba Textiles Ltd,U51909AP1954PLC000525,,767587
1436,Sree Annapoorna Sree Gowrishankar Hotels  Private Limited,,,0
1437,Sree Narasimha Textiles Private Limited,U17111TZ1976PTC000755,17.0,550000
1438,Sree Rayalaseema Alkalies And Allied Chemicals Ltd,L24110AP1981PLC003077,20.0,4977723
1439,Sree Sakthi Paper Mills Limited,L21012KL1991PLC006207,17.0,325000
1440,Sree Satyanarayana Spinning Mills Ltd,U18101AP1962PLC000919,,8
1441,Srei Equipment Finance Limited,U70101WB2006PLC109898,70.0,9875000
1442,Srei Infrastructure Finance Limited,L29219WB1985PLC055352,29.0,13745962
1443,Srf Limited,L18101DL1970PLC005197,14.0,4709000
1444,Sri Dhanalakshmi Cotton And Rice Mills Private Limited,U18100AP1977PTC002187,,5200000
1445,Sri Krishna Pharmaceuticals Limited,U24230TG1974PLC001790,,1821000
1446,Sri Lalitha Enterprises Industries Private Limited,U15311AP2004PTC044806,,2800000
1447,Sri Narasus Coffee Company Private Limited,U15492TZ2009PTC015131,,1600000
1448,Sri Nukala Rama Koteswara Rao Textiles Private Limited,U17115AP2001PTC037792,,0
1449,Sri Venkata Sivaparvathi Spinning Mills Private Limited,U17111AP2003PTC040926,,140000
1450,Srijan Realty Private Limited,U51909WB1996PTC078214,,1890000
1451,Srikalahasthi Pipes Limited,L74999AP1991PLC013391,74.0,1086273
1452,Srinivasa Farms Private Limited,U01222TG1983PTC003979,,907000
1453,Srinivasa Hatcheries Limited,U01222TG1978PLC002297,,1150000
1454,Srs Limited,L74999HR2000PLC040183,74.0,10431895
1455,Srs Real Infrastructure Limited,L65910HR1990PLC040431,64.0,2000000
1456,Stahl India Private Limited,U24117TN1998PTC039811,,337340
1457,Standard Greases And Specialities Private Limited,U23201MH2007PTC174642,,863179
1458,Standard Radiators Private Limited,U34201GJ1965PTC001320,,1406000
1459,Standard Treads Pvt Ltd,U25119KL1980PTC003167,,1454500
1460,Star Chemicals (Bombay) Private Limited,U24100MH1962PTC012351,,1500000
1461,Statestreet Global Advisors India Private Limited,,,2850000
1462,Statestreet Hcl Services (India) Private  Limited,,,1200000
1463,Stci Finance Limited,U51900MH1994PLC078303,51.0,600000
1464,Steel Strips Wheels Ltd,L27107PB1985PLC006159,27.0,6034000
1465,Stelco Limited,U27310PB1993PLC013400,,550000
1466,Stellar Information Technology Private Limited,U72300DL2006PTC147288,,1675000
1467,Sterling Abrasives Limited,U29259GJ1979PLC003467,29.0,3852000
1468,Sterlite Technologies Limited,L31300MH2000PLC269261,31.0,9289000
1469,Stock Holding Corporation Of India Limited,U67190MH1986GOI040506,,700000
1470,Store One Retail India Limited,L52190DL2005PLC181536,52.0,0
1471,Strassenburg Pharmaceuticals Ltd.,U24233WB1985PLC039196,,100000
1472,Strides Shasun Limited,L24230MH1990PLC057062,21.0,19400000
1473,Sua Explosives Andaccessories Private Limited,U24292KA1989PTC023435,24.0,398000
1474,Subros Limited,L74899DL1985PLC020134,74.0,5331000
1475,Sucden India Private Limited,U15420MH2004PTC144878,,271000
1476,Sugam Parivahan Private Limited,U60231WB1982PTC067973,,150000
1477,Sujana Universal Industries Limited,L29309TG1986PLC006714,27.0,1750000
1478,Sukhbir Agro Energy Limited,U40101PB1999PLC023197,,2171000
1479,Sukhjit Starch And Chemicals Ltd,L15321PB1944PLC001925,10.0,5351000
1480,Sumeet Industries Limited,L45200GJ1988PLC011049,45.0,3300000
1481,Sun Pharmaceutical Industries Limited,L24230GJ1993PLC019050,21.0,28790000
1482,Sundaram -Clayton Limited,L35999TN1962PLC004792,35.0,174300000
1483,Sundaram Bnp Paribas Home Finance Limited,U65922TN1999PLC042759,64.0,24524000
1484,Sundaram Dynacast Private Limited,U28920TN1993PTC025794,28.0,860000
1485,Sundaram Finance Limited,L65191TN1954PLC002429,64.0,76630000
1486,Sundaram Industries Private Limited,U65991TN1943PTC002656,,2138000
1487,Sundram Fasteners Limited,L35999TN1962PLC004943,35.0,18895000
1488,Sunflag Iron And Steel Co Ltd,L27100MH1984PLC034003,27.0,2412321
1489,Sungard Solutions (India) Private Limited,U72200PN1993PTC151736,,1386289
1490,Sungard Solutions Software (India) Private Limited,U72200PN2007PTC130426,,88253
1491,Sunrise Containers Limited,U28129MH1986PLC040194,,2159000
1492,Sunworld Developers Private Limited,U70200DL2009PTC196223,,0
1493,Super Sales India Limited,L17111TZ1981PLC001109,17.0,1000000
1494,Super Tannery Limited,U19131UP1984PLC006421,,2568600
1495,Superhouse Limited,L24231UP1980PLC004910,21.0,7455778
1496,Supriya Lifescience Limited,U51900MH2008PLC180452,,1000000
1497,Suraj Limited,L27100GJ1994PLC021088,27.0,800750
1498,Suven Life Sciences Limited,L24110TG1989PLC009713,20.0,3636651
1499,Svs Mookambika Constructions Private Limited,U45209AP2009PTC065382,,0
1500,Swiss Glascoat Equipments Limited,L26100GJ1991PLC016173,26.0,0
1501,Swiss Re Shared Services (India) Private Limited,U74140KA2000PTC027640,74.0,97000
1502,Symbiotec Pharmalab Private Limited,U24232MP2002PTC015293,21.0,2824133
1503,Synchrony International Services Private Limited,U72200TG2008PTC088404,,3225000
1504,Syncom Formulations (India) Limited,L24239MH1988PLC047759,21.0,2000000
1505,Synechron Technologies Private Limited,U72200PN2001PTC016029,,341782
1506,Synergia Life Sciences Private Limited,U24230MH2004PTC145390,21.0,2500000
1507,Syngene International Limited,L85110KA1993PLC014937,86.0,2600000
1508,Syngenta India Limited,U24210PN2000PLC135336,20.0,2750000
1509,Synopsys (India) Private Limited,U85110KA1995PTC017634,,7211899
1510,Synthite Industries Limited,U24299KL1970PLC002294,24.0,4265000
1511,T P Roy Chowdhury & Co Private Limited,U51109WB1956PTC023162,,3085000
1512,T S Alloys Limited,U27109OR2004PLC009683,27.0,118000
1513,T-3 Energy Services India Private Limited,U40200PN2008FTC135459,40.0,2492701
1514,Tafe Access Limited,U15499TN1992PLC023544,15.0,500000
1515,Tafe Motors And Tractors Limited,U29211TN2005PLC055476,29.0,7500000
1516,Talbros Automotive Components Limited,L29199HR1956PLC033107,29.0,1000000
1517,Talbros Engineering Limited,L74210HR1986PLC033018,74.0,500000
1518,Talbros International Limited,U31909HR1980PLC010226,31.0,1000000
1519,Talentica Software (India) Pvt Ltd,U72200PN2003PTC017850,72.0,1300000
1520,Talisma Corporation Private Limited,U72200KA2000PTC026639,,229600
1521,Tamilnadu Fisheries Development Corporation Limited,U05001TN1974SGC006597,5.0,317250
1522,Tamilnadu Magnesite Limited,U27109TZ1979SGC000834,27.0,721722
1523,Tamilnadu Minerals Limited,U14210TN1978SGC007488,14.0,300000
1524,Taqa Neyveli Power Company Private Limited,U40109TN1993PTC026223,,6951838
1525,Tata Asset Management Limited,U65990MH1994PLC077090,65.0,1200000
1526,Tata Autocomp Hendrickson Suspensions Private Limited,U29130PN2006PTC128649,29.0,4258363
1527,Tata Autocomp Systems Limited,U34100PN1995PLC158999,,379000
1528,Tata Capital Financial Services Limited,U67100MH2010PLC210201,67.0,29688000
1529,Tata Capital Housing Finance Limited,U67190MH2008PLC187552,67.0,2819000
1530,Tata Consultancy Services Limited,L22210MH1995PLC084781,18.0,16800000
1531,Tata Consulting Engineers Limited,U74210MH1999PLC123010,74.0,2000000
1532,Tata Elxsi Limited,L85110KA1989PLC009968,86.0,10508000
1533,Tata Ficosa Automotive Systems Private Limited,U74999MH1998PTC112992,,710000
1534,Tata Global Beverages Limited,L15491WB1962PLC031425,15.0,3000000
1535,Tata Housing Development Company Limited,U45300MH1942PLC003573,,29200000
